id,name
1078,Borge Ginaraes
1079,Yuri Sedov
1080,Alfonso Jaramillo
1081,Salvador Reyes Monteon
1082,Pyotr Grigoryev
1083,Fierro
1084,Robert Page
1085,Nicklas Bendtner
1086,Alfonso Jaramilla
1087,Jorge Barreto
1088,Moise Vass
1089,Sergei Skachenko
1090,Albert Elkes
1091,Vladimir Vonog
1092,Kiril Kotev
1093,Ruben Dario Tufino
1094,Jens Jeremies
1095,Dimirtios Paridis
1096,Antonio Roma
1097,Massinha
1098,Grigor Georgiev
1099,Rodolph Austin
1100,Nehli
1101,Aristidis Karamas
1102,Barrie McKay
1103,Pinheiro
1104,Istvan Tamassy
1105,Jaime
1106,Raafat Antar
1107,John Stones
1108,Jacques Sterckval
1109,Bernhard Nickel
1110,Ovidiu Petre
1111,Roman Villanueva
1112,Erich Kauer
1113,Leon F Villa
1114,Ottavio Bianchi
1115,Karel Heijting
1116,AHMET Erol
1117,Plamen Tzvetkov
1118,Milan Ivanovic
1119,Erkki Harell
1120,KIM Jong-Hwan
1121,Markus Schopp
1122,Tulio Obando
1123,Jose Gabriel
1124,Ziad Tlemcani
1125,Yumura
1126,Vicente Zito
1127,Jalil Hanoun
1128,H Mohammed
1129,Ahmad Madani
1130,Jaleel Abdul Rahman Mohammed
1131,Hakan Hoglander
1132,Geoffrey Norman Foster
1133,Tai Lin Ching
1134,Servilio II
1135,Garret Kusch
1136,Michael A Mellows
1137,Hans Geiger
1138,Salim Hussein Shilaib
1139,James McPake
1140,Vladimir Siago
1141,Maurice Thedie
1142,Ilja Antonov
1143,Leon Strembel
1144,Jimmy Hagan
1145,Frederick J Griffiths
1146,Miguel Alvarez
1147,Koji Kondo
1148,Gerry Ryan
1149,Lennart Hemming
1150,Hakki Tolunay Kafkas
1151,IM Hwa-Yong
1152,Fareed Majeed
1153,Houssin Bouchkhachekh
1154,Raul II
1155,Hamilton Lopez
1156,Zoltan Jagodics
1157,Arnold Muhren
1158,Larbi El-Hadi
1159,Anatoli Isaev
1160,Ruben Anguiano
1161,Zarko Nikolic
1162,LEE Sang-Yi
1163,Edel Apula Bete
1164,Antero Nikkanen
1165,Rafael Santana 'Rafa'
1166,Francis Hoddinott
1167,Henk Wery
1168,Ferenc Szedlacsik
1169,Geoff Sleight
1170,Ortiz Obergon
1171,GAO Hong Bo
1172,Victor Badilla
1173,Robert Zebelyan
1174,Joaquim Carvalho
1175,J Rodriguez
1176,Pedro Graffigna
1177,Edouard Wawrzeniak 'WAGI'
1178,Emmanuel Duah
1179,Eugen Meier
1180,Kaieddine Am Kherris
1181,Chris Bennett
1182,Harold Lozano
