id,home_team_id,away_team_id,location_id,match_type,competition,winning_team_id,home_team_score,away_team_score,match_date
9680,67,64,1461,,International Friendly,67,2,1,1996-05-09
9681,71,64,600,,International Friendly,71,1,0,2008-05-20
9682,73,64,142,,International Friendly,64,1,2,2006-12-10
9683,66,2,787,,Copa Hispanidad,66,1,0,1972-10-11
9684,2,66,1169,,Copa Hispanidad,,1,1,1974-10-12
9685,5,66,751,,FIFA World Cup,5,2,1,1978-06-03
9686,10,66,1421,,FIFA World Cup,,0,0,1978-06-07
9687,20,66,1072,,UEFA European Championship,66,1,2,1974-09-25
9688,66,20,294,,UEFA European Championship,66,2,0,1975-10-12
9689,66,27,785,,International Friendly,,2,2,1971-03-17
9690,66,28,1556,,International Friendly,66,2,0,1970-02-11
9691,28,66,48,,International Friendly,28,2,1,1973-11-24
9692,66,28,294,,International Friendly,66,1,0,1974-02-23
9693,66,28,1281,,UEFA European Championship,,1,1,1976-04-24
9694,28,66,2008,,UEFA European Championship,28,2,0,1976-05-22
9695,66,30,528,,International Friendly,66,2,1,1970-10-28
9696,30,66,1338,,International Friendly,,0,0,1972-04-12
9697,30,66,2433,,FIFA World Cup,66,2,3,1973-01-17
9698,66,30,958,,FIFA World Cup,66,3,1,1973-02-21
9699,66,35,787,,International Friendly,66,1,0,1972-01-12
9700,66,35,2402,,International Friendly,,1,1,1977-03-27
9701,66,40,787,,International Friendly,,2,2,1970-02-21
9702,40,66,293,,International Friendly,66,1,2,1971-02-20
9703,66,40,787,,International Friendly,66,2,1,1978-01-25
9704,45,66,20,,FIFA World Cup,,0,0,2002-06-22
